borough,gss_code,mean_betweenness,max_betweenness,mean_degree,max_degree,edge_count
Kingston upon Thames,E09000021,0.02062170439587604,0.2610082251147221,5.271408945199206,8.0,6551
Croydon,E09000008,0.01221001783321795,0.17763743189589515,5.3839934778177865,8.0,14719
Bromley,E09000006,0.012134591783601203,0.17250440689463617,5.425875325665629,8.0,15737
Hounslow,E09000018,0.018355681149060464,0.33520703007238584,5.2478657353511835,8.0,10308
Ealing,E09000009,0.015021210986453912,0.21214191151471,5.4187196629728,8.0,10919
Havering,E09000016,0.012923044008306024,0.17947417253856407,5.369129748150611,8.0,12031
Hillingdon,E09000017,0.01312835693713063,0.3311303080694855,5.215237444482405,8.0,14635
Harrow,E09000015,0.016810554295429162,0.17571331023036288,5.38376467905598,8.0,8771
Brent,E09000005,0.01664585541323654,0.35224446094680495,5.400981461286805,9.0,9170
Barnet,E09000003,0.013281521651719115,0.20335366761660986,5.415900449360525,8.0,14465
Lambeth,E09000022,0.01774179811100613,0.28417211967210065,5.446247464503043,8.0,8381
Southwark,E09000028,0.014075352979012221,0.21920476325212124,5.264451476793249,8.0,9480
Lewisham,E09000023,0.01698711333704915,0.18758935246852018,5.490004299226139,8.0,9304
Greenwich,E09000011,0.01408859355370894,0.2971158358842553,5.296916219412354,9.0,10993
Bexley,E09000004,0.0138864191437111,0.16879134434141696,5.326022580048122,8.0,10806
Enfield,E09000010,0.013071142454894522,0.11351901911569168,5.376250098432948,8.0,12699
Waltham Forest,E09000031,0.020229698328577978,0.21427073666612356,5.367478866235704,8.0,8044
Redbridge,E09000026,0.016465060145733686,0.25009893031709324,5.602620967741935,9.0,9920
Sutton,E09000029,0.01575716687266764,0.16384388116296733,5.483498349834983,8.0,8484
Richmond upon Thames,E09000027,0.02311861684267988,0.4064387146065371,5.395046886270738,8.0,8318
Merton,E09000024,0.01819538683555843,0.31951581607544494,5.322514937533949,8.0,7364
Wandsworth,E09000032,0.01656344641452873,0.19777860402956954,5.521429319920361,8.0,9543
Hammersmith and Fulham,E09000013,0.027086853824145975,0.2553168866495662,5.505822896066799,8.0,4551
Kensington and Chelsea,E09000020,0.026176945171277576,0.22552033494744755,5.318831026148099,8.0,4551
Westminster,E09000033,0.015288472924507326,0.20051704629980882,5.119584289377784,8.0,7409
Camden,E09000007,0.020905474281842317,0.23902010060013917,5.229508196721311,8.0,5429
Tower Hamlets,E09000030,0.017057801100133864,0.20915403738279723,5.185975609756097,8.0,7544
Islington,E09000019,0.022862267514315603,0.32883447136228006,5.272833952669665,8.5,5113
Hackney,E09000012,0.02179141560184133,0.16161713071611405,5.288695652173913,8.0,5750
Haringey,E09000014,0.019098378104242242,0.32494162283181005,5.39039039039039,8.0,7326
Newham,E09000025,0.015050515433949243,0.22882788995370656,5.21830985915493,8.0,9940
Barking and Dagenham,E09000002,0.017059085792869428,0.30258391625373937,5.4925434962717485,9.0,7242
City of London,E09000001,0.03816108187830568,0.18718940130216977,4.583687943262412,8.0,1410
